"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.1031,0,0.076221,-0.009211,1,0.916,-2.4,0,-1.084
0.10337,0,0.07628,-0.0092324,1,0.92,-2.4,0,-1.08
0.10364,0,0.076339,-0.0092538,1,0.924,-2.4,0,-1.076
0.10392,0,0.076398,-0.0092751,1,0.928,-2.4,0,-1.072
0.10419,0,0.076457,-0.0092965,1,0.932,-2.4,0,-1.068
0.10446,0,0.076516,-0.0093179,1,0.936,-2.4,0,-1.064
0.10473,0,0.076575,-0.0093392,1,0.94,-2.4,0,-1.06
0.10501,0,0.076634,-0.0093606,1,0.944,-2.4,0,-1.056
0.10528,0,0.076693,-0.009382,1,0.948,-2.4,0,-1.052
0.10555,0,0.076752,-0.0094033,1,0.952,-2.4,0,-1.048
0.10583,0,0.076811,-0.0094247,1,0.956,-2.4,0,-1.044
0.1061,0,0.07687,-0.0094461,1,0.96,-2.4,0,-1.04
0.10637,0,0.076929,-0.0094675,1,0.964,-2.4,0,-1.036
0.10665,0,0.076988,-0.0094888,1,0.968,-2.4,0,-1.032
0.10692,0,0.077047,-0.0095102,1,0.972,-2.4,0,-1.028
0.10719,0,0.077105,-0.0095316,1,0.976,-2.4,0,-1.024
0.10747,0,0.077164,-0.0095529,1,0.98,-2.4,0,-1.02
0.10769,-1.2806e-37,0.077215,-0.0095731,1,0.984,-2.4,0,-1.016
0.10791,0,0.077265,-0.0095933,1,0.988,-2.4,0,-1.012
0.10813,1.0024e-39,0.077315,-0.0096135,1,0.992,-2.4,0,-1.008
0.10835,3.2107e-38,0.077365,-0.0096337,1,0.996,-2.4,0,-1.004
0.10857,0,0.077415,-0.0096539,1,1,-2.4,0,-1
0.10879,-6.4335e-38,0.077465,-0.0096741,1,1.004,-2.4,0,-0.996
0.10901,0,0.077515,-0.0096942,1,1.008,-2.4,0,-0.992
0.10923,4.3409e-24,0.077565,-0.0097144,1,1.012,-2.4,0,-0.988
0.10945,3.2259e-38,0.077615,-0.0097346,1,1.016,-2.4,0,-0.984
0.10967,6.4578e-38,0.077665,-0.0097548,1,1.02,-2.4,0,-0.98
0.10989,-6.4639e-38,0.077715,-0.009775,1,1.024,-2.4,0,-0.976
0.11008,1.294e-37,0.077759,-0.0097942,1,1.028,-2.4,0,-0.972
0.11025,-3.238e-38,0.077801,-0.0098133,1,1.032,-2.4,0,-0.968
