"U:0","U:1","U:2","p","vtkValidPointMask","arc_length"
20.751,0,-3.7604e-05,248.46,1,1.968
20.914,0,-3.7663e-05,245.07,1,1.976
21.077,0,-3.7769e-05,241.63,1,1.984
21.24,0,-3.7891e-05,238.18,1,1.992
21.403,0,-3.8013e-05,234.72,1,2
21.565,0,-3.8242e-05,231.22,1,2.008
21.727,0,-3.8475e-05,227.71,1,2.016
21.889,0,-3.8712e-05,224.2,1,2.024
22.049,0,-3.8971e-05,220.65,1,2.032
22.21,0,-3.9231e-05,217.1,1,2.04
22.37,0,-3.9662e-05,213.55,1,2.048
22.528,0,-4.0326e-05,209.97,1,2.056
22.687,0,-4.0987e-05,206.4,1,2.064
22.844,0,-4.1744e-05,202.82,1,2.072
23,0,-4.2553e-05,199.23,1,2.08
23.156,0,-4.3359e-05,195.65,1,2.088
23.309,0,-4.4367e-05,192.06,1,2.096
23.463,0,-4.5403e-05,188.48,1,2.104
23.615,0,-4.6456e-05,184.9,1,2.112
23.765,0,-4.7731e-05,181.33,1,2.12
23.915,0,-4.9001e-05,177.77,1,2.128
24.063,0,-5.0342e-05,174.21,1,2.136
24.209,0,-5.1848e-05,170.68,1,2.144
24.355,0,-5.3347e-05,167.15,1,2.152
24.498,0,-5.4965e-05,163.64,1,2.16
24.639,0,-5.6686e-05,160.16,1,2.168
24.781,0,-5.8401e-05,156.68,1,2.176
24.919,0,-6.0341e-05,153.24,1,2.184
25.055,0,-6.2348e-05,149.82,1,2.192
25.192,0,-6.4348e-05,146.4,1,2.2
25.324,0,-6.6432e-05,143.06,1,2.208
25.455,0,-6.8521e-05,139.72,1,2.216
25.586,0,-7.0721e-05,136.4,1,2.224
25.712,0,-7.3343e-05,133.15,1,2.232
25.838,0,-7.5954e-05,129.9,1,2.24
25.962,0,-7.87e-05,126.69,1,2.248
26.083,0,-8.1636e-05,123.54,1,2.256
26.203,0,-8.4566e-05,120.4,1,2.264
26.32,0,-8.7735e-05,117.32,1,2.272
26.435,0,-9.1033e-05,114.29,1,2.28
26.55,0,-9.4328e-05,111.26,1,2.288
26.659,0,-9.7966e-05,108.34,1,2.296
26.768,0,-0.00010165,105.43,1,2.304
26.877,0,-0.00010538,102.53,1,2.312
26.979,0,-0.00010956,99.755,1,2.32
27.082,0,-0.00011373,96.979,1,2.328
27.183,0,-0.00011802,94.247,1,2.336
27.28,0,-0.00012257,91.608,1,2.344
27.376,0,-0.00012714,88.97,1,2.352
27.47,0,-0.00013191,86.409,1,2.36
27.561,0,-0.00013685,83.913,1,2.368
27.651,0,-0.00014181,81.418,1,2.376
27.737,0,-0.00014706,79.034,1,2.384
27.822,0,-0.00015241,76.684,1,2.392
27.906,0,-0.00015777,74.334,1,2.4
